head,relation,tail
Method_proving,EVALUATES,Task_proving
Method_proving,EVALUATES,Task_question_answering
Method_proving,EVALUATES,Task_xml
Method_vrml,EVALUATES,Task_vrml
Method_covid-19,EVALUATES,Task_feature_selection
Method_wordnets,EVALUATES,Task_learning
Method_learning,EVALUATES,Task_simulation
Method_bert,EVALUATES,Task_bert
Method_human-computer_interaction,EVALUATES,Task_gpt
Method_bert,EVALUATES,Task_bert
Method_lstm,EVALUATES,Task_vrml
Method_em_algorithm,EVALUATES,Task_crowdsourcing
Method_bert,EVALUATES,Task_bert
