head,relation,tail
Method_natural_language_processing,IMPROVES,Method_transformer
Method_transformer,IMPROVES,Method_natural_language_processing
Method_proving,IMPROVES,Method_question_answering
Method_question_answering,IMPROVES,Method_proving
Method_uml,IMPROVES,Method_natural_language_processing
Method_natural_language_processing,IMPROVES,Method_uml
Method_natural_language_processing,IMPROVES,Method_em_algorithm
Method_em_algorithm,IMPROVES,Method_natural_language_processing
Method_lstm,IMPROVES,Method_transformer
Method_transformer,IMPROVES,Method_lstm
Method_lstm,IMPROVES,Method_transformer
Method_transformer,IMPROVES,Method_lstm
Method_gpt,IMPROVES,Method_morphology
Method_morphology,IMPROVES,Method_gpt
Method_artificial_intelligence,IMPROVES,Method_natural_language_processing
Method_natural_language_processing,IMPROVES,Method_artificial_intelligence
Method_law_revisions,IMPROVES,Method_text_categorization
Method_text_categorization,IMPROVES,Method_law_revisions
Method_embedding,IMPROVES,Method_neural_networks
Method_neural_networks,IMPROVES,Method_embedding
Method_transformer,IMPROVES,Method_learning
Method_learning,IMPROVES,Method_transformer
Method_gpt,IMPROVES,Method_bert
Method_bert,IMPROVES,Method_gpt
Method_semantics,IMPROVES,Method_modularization
Method_modularization,IMPROVES,Method_semantics
Method_large_language_models,IMPROVES,Method_machine_translation
Method_large_language_models,IMPROVES,Method_wordnets
Method_large_language_models,IMPROVES,Method_machine_translation
Method_large_language_models,IMPROVES,Method_gpt
Method_machine_translation,IMPROVES,Method_large_language_models
Method_machine_translation,IMPROVES,Method_wordnets
Method_machine_translation,IMPROVES,Method_machine_translation
Method_machine_translation,IMPROVES,Method_gpt
Method_wordnets,IMPROVES,Method_large_language_models
Method_wordnets,IMPROVES,Method_machine_translation
Method_wordnets,IMPROVES,Method_machine_translation
Method_wordnets,IMPROVES,Method_gpt
Method_machine_translation,IMPROVES,Method_large_language_models
Method_machine_translation,IMPROVES,Method_machine_translation
Method_machine_translation,IMPROVES,Method_wordnets
Method_machine_translation,IMPROVES,Method_gpt
Method_gpt,IMPROVES,Method_large_language_models
Method_gpt,IMPROVES,Method_machine_translation
Method_gpt,IMPROVES,Method_wordnets
Method_gpt,IMPROVES,Method_machine_translation
Method_statistical_analysis,IMPROVES,Method_em_algorithm
Method_em_algorithm,IMPROVES,Method_statistical_analysis
Method_question_answering,IMPROVES,Method_proving
Method_proving,IMPROVES,Method_question_answering
Method_learning,IMPROVES,Method_proving
Method_proving,IMPROVES,Method_learning
Method_remodularization,IMPROVES,Method_text_mining
Method_text_mining,IMPROVES,Method_remodularization
Method_embedding,IMPROVES,Method_word_vectors
Method_word_vectors,IMPROVES,Method_embedding
Method_embedding,IMPROVES,Method_embedding
Method_word_vectors,IMPROVES,Method_embedding
Method_embedding,IMPROVES,Method_embedding
Method_embedding,IMPROVES,Method_word_vectors
Method_automation,IMPROVES,Method_bert
Method_automation,IMPROVES,Method_bert
Method_bert,IMPROVES,Method_automation
Method_bert,IMPROVES,Method_bert
Method_bert,IMPROVES,Method_automation
Method_bert,IMPROVES,Method_bert
Method_cognition,IMPROVES,Method_simulation
Method_cognition,IMPROVES,Method_remodularization
Method_simulation,IMPROVES,Method_cognition
Method_simulation,IMPROVES,Method_remodularization
Method_remodularization,IMPROVES,Method_cognition
Method_remodularization,IMPROVES,Method_simulation
Method_transformer,IMPROVES,Method_bert
Method_bert,IMPROVES,Method_transformer
Method_word_vectors,IMPROVES,Method_embedding
Method_word_vectors,IMPROVES,Method_embedding
Method_embedding,IMPROVES,Method_word_vectors
Method_embedding,IMPROVES,Method_embedding
Method_embedding,IMPROVES,Method_word_vectors
Method_embedding,IMPROVES,Method_embedding
Method_word_vectors,IMPROVES,Method_n_grams
Method_n_grams,IMPROVES,Method_word_vectors
Method_cognition,IMPROVES,Method_dci
Method_dci,IMPROVES,Method_cognition
Method_embedding,IMPROVES,Method_word_vectors
Method_word_vectors,IMPROVES,Method_embedding
Method_wordnets,IMPROVES,Method_word_vectors
Method_word_vectors,IMPROVES,Method_wordnets
Method_machine_translation,IMPROVES,Method_gpt
Method_gpt,IMPROVES,Method_machine_translation
Method_proving,IMPROVES,Method_learning
Method_learning,IMPROVES,Method_proving
Method_intent,IMPROVES,Method_computational
Method_computational,IMPROVES,Method_intent
Method_natural_language_processing,IMPROVES,Method_xml_processing
Method_xml_processing,IMPROVES,Method_natural_language_processing
Method_em_algorithm,IMPROVES,Method_artificial_intelligence
Method_artificial_intelligence,IMPROVES,Method_em_algorithm
Method_parsing,IMPROVES,Method_simulation
Method_simulation,IMPROVES,Method_parsing
Method_word_vectors,IMPROVES,Method_embedding
Method_embedding,IMPROVES,Method_word_vectors
Method_natural_language_processing,IMPROVES,Method_proving
Method_proving,IMPROVES,Method_natural_language_processing
