head,relation,tail
Method_Simulation,USES,Technology_VEsNA
Method_machine_translation,USES,Technology_NLP
Method_machine_translation,USES,Technology_mixture-of-supernets
Method_mixture-of-supernets,USES,Technology_NLP
Method_mixture-of-supernets,USES,Technology_mixture-of-supernets
Method_GPU_Dynamic_Voltage_and_Frequency_Scaling,USES,Technology_GPU_DVFS
Method_GPU_Dynamic_Voltage_and_Frequency_Scaling,USES,Technology_GPU_Dynamic_Voltage_and_Frequency_Scaling
Method_Eval-Instruct,USES,Technology_GPT-4
Method_CS,USES,Technology_NLP
Method_group_distributionally_robust_optimization,USES,Technology_ERM
Method_computer-aided_diagnosis_methods_employing_multi-label_zero-shot_learning,USES,Technology_PsPG
Method_PsPG,USES,Technology_PsPG
Method_Pseudo-Prompt_Generating,USES,Technology_PsPG
Method_computer_graphics,USES,Technology_computer_graphics
Method_graphs,USES,Technology_computer_graphics
Method_DiffuseDef,USES,Technology_DiffuseDef
Method_Python,USES,Technology_Python
Method_rationale_extraction,USES,Technology_NLP
Method_rationale_extraction,USES,Technology_BIOS
Method_nex-cv,USES,Technology_nex-cv
Method_Cascading,USES,Technology_FLAN-T5
Method_Automatic_Speech_Recognition,USES,Technology_Automatic_Speech_Recognition
Method_LM,USES,Technology_NLP
Method_NLP_techniques_and_domain_ontology,USES,Technology_NLP
Method_Bibliometrics,USES,Technology_NLP
Method_information_retrieval,USES,Technology_NLP
Method_scientometrics,USES,Technology_NLP
Method_natural_language_processing,USES,Technology_NLP
Method_MRI,USES,Technology_xLSTM
Method_MRI,USES,Technology_xLSTM-UNet
Method_Subband_Decomposition,USES,Technology_Subband_Decomposition
Method_pruning_network_connections_and_encoding_learning_weights,USES,Technology_Subband_Decomposition
Method_CV-YOLO,USES,Technology_YOLOv7_and_BERT
Method_CV-YOLO,USES,Technology_ASR-Whisper
Method_CV-YOLO,USES,Technology_ASR
Method_CV-YOLO,USES,Technology_NLP
Method_curriculum_dropout,USES,Technology_SimCSE
Method_Task-adaptive_pre-training,USES,Technology_SSL
Method_Self-training,USES,Technology_SSL
Method_SoTA,USES,Technology_NLP
Method_attention_maps,USES,Technology_ency-Driven_Detection_and_Transformation
Method_attention_maps,USES,Technology_IT-DT
