head,relation,tail
2312.15696,BELONGS_TO,Technology_natural_language_processing
2412.12733,BELONGS_TO,Technology_natural_language_processing
2211.08794,BELONGS_TO,Technology_natural_language_processing
2009.11226,BELONGS_TO,Technology_natural_language_processing
2401.06210,BELONGS_TO,Technology_natural_language_processing
2405.06818,BELONGS_TO,Technology_artificial_intelligence
2309.07462,BELONGS_TO,Technology_gpt
2406.17304,BELONGS_TO,Technology_artificial_intelligence
2104.11576,BELONGS_TO,Technology_natural_language_processing
2407.01530,BELONGS_TO,Technology_lstm
2303.09999,BELONGS_TO,Technology_natural_language_processing
2002.06275,BELONGS_TO,Technology_twitter
2002.06275,BELONGS_TO,Technology_bert
1807.05519,BELONGS_TO,Technology_natural_language_processing
2207.05359,BELONGS_TO,Technology_natural_language_processing
2305.18023,BELONGS_TO,Technology_natural_language_processing
2408.02337,BELONGS_TO,Technology_artificial_intelligence
2412.01312,BELONGS_TO,Technology_artificial_intelligence
2207.11716,BELONGS_TO,Technology_lstm
2211.12316,BELONGS_TO,Technology_natural_language_processing
2010.01027,BELONGS_TO,Technology_transformer
1707.03372,BELONGS_TO,Technology_internet
2004.13823,BELONGS_TO,Technology_natural_language_processing
2110.08455,BELONGS_TO,Technology_natural_language_processing
2406.18776,BELONGS_TO,Technology_artificial_intelligence
2406.11307,BELONGS_TO,Technology_natural_language_processing
1807.00571,BELONGS_TO,Technology_natural_language_processing
2407.10114,BELONGS_TO,Technology_artificial_intelligence
1506.08140,BELONGS_TO,Technology_parsing
2211.02899,BELONGS_TO,Technology_natural_language_processing
2407.03020,BELONGS_TO,Technology_natural_language_processing
2312.15020,BELONGS_TO,Technology_bert
2312.15020,BELONGS_TO,Technology_transformer
2404.04997,BELONGS_TO,Technology_natural_language_processing
2403.09762,BELONGS_TO,Technology_artificial_intelligence
2401.02731,BELONGS_TO,Technology_gpt
2405.04781,BELONGS_TO,Technology_ai
2401.15861,BELONGS_TO,Technology_bert
2110.06696,BELONGS_TO,Technology_natural_language_processing
1503.00197,BELONGS_TO,Technology_natural_language_processing
1707.01793,BELONGS_TO,Technology_natural_language_processing
2309.06572,BELONGS_TO,Technology_natural_language_processing
2212.08205,BELONGS_TO,Technology_natural_language_processing
2403.08425,BELONGS_TO,Technology_artificial_intelligence
2211.15144,BELONGS_TO,Technology_natural_language_processing
2110.09132,BELONGS_TO,Technology_natural_language_processing
2306.01499,BELONGS_TO,Technology_artificial_intelligence
2302.13007,BELONGS_TO,Technology_gpt
2402.18449,BELONGS_TO,Technology_natural_language_processing
2405.19164,BELONGS_TO,Technology_artificial_intelligence
2403.09997,BELONGS_TO,Technology_natural_language_processing
2301.08912,BELONGS_TO,Technology_natural_language_processing
1911.07272,BELONGS_TO,Technology_internet
2502.13832,BELONGS_TO,Technology_gpt
2409.19022,BELONGS_TO,Technology_artificial_intelligence
2409.19022,BELONGS_TO,Technology_natural_language_processing
2009.09139,BELONGS_TO,Technology_natural_language_processing
1809.06502,BELONGS_TO,Technology_natural_language_processing
2403.09718,BELONGS_TO,Technology_natural_language_processing
2310.14545,BELONGS_TO,Technology_chatbots
2208.03646,BELONGS_TO,Technology_gpt
2109.05090,BELONGS_TO,Technology_dialogue
2109.05090,BELONGS_TO,Technology_gpt
2311.14685,BELONGS_TO,Technology_artificial_intelligence
2310.10375,BELONGS_TO,Technology_natural_language_processing
2409.09415,BELONGS_TO,Technology_gpt
2302.02023,BELONGS_TO,Technology_natural_language_processing
2109.13037,BELONGS_TO,Technology_natural_language_processing
2501.14491,BELONGS_TO,Technology_natural_language_processing
2105.13491,BELONGS_TO,Technology_natural_language_processing
2009.05639,BELONGS_TO,Technology_lstm
2011.06430,BELONGS_TO,Technology_natural_language_processing
2502.08371,BELONGS_TO,Technology_natural_language_processing
1604.00314,BELONGS_TO,Technology_natural_language_processing
1505.06169,BELONGS_TO,Technology_natural_language_processing
2308.04346,BELONGS_TO,Technology_artificial_intelligence
1908.07831,BELONGS_TO,Technology_natural_language_processing
1807.00847,BELONGS_TO,Technology_internet
2212.13456,BELONGS_TO,Technology_transformer
2106.06964,BELONGS_TO,Technology_natural_language_processing
2305.02182,BELONGS_TO,Technology_chatbots
2104.06644,BELONGS_TO,Technology_natural_language_processing
2209.14389,BELONGS_TO,Technology_bert
2107.09640,BELONGS_TO,Technology_twitter
2110.01834,BELONGS_TO,Technology_artificial_intelligence
2501.15720,BELONGS_TO,Technology_natural_language_processing
2109.13123,BELONGS_TO,Technology_lstm
2408.01008,BELONGS_TO,Technology_artificial_intelligence
2204.01614,BELONGS_TO,Technology_artificial_intelligence
2205.06603,BELONGS_TO,Technology_natural_language_processing
2305.08246,BELONGS_TO,Technology_nlp
2110.14746,BELONGS_TO,Technology_transformer
2306.00008,BELONGS_TO,Technology_transformer
2306.00008,BELONGS_TO,Technology_n_grams
2103.05763,BELONGS_TO,Technology_word_vectors
2306.05307,BELONGS_TO,Technology_natural_language_processing
1906.05664,BELONGS_TO,Technology_lstm
1906.05664,BELONGS_TO,Technology_transformer
2404.17975,BELONGS_TO,Technology_natural_language_processing
2106.05160,BELONGS_TO,Technology_natural_language_processing
2501.03904,BELONGS_TO,Technology_chatbots
1701.01437,BELONGS_TO,Technology_artificial_intelligence
2403.02292,BELONGS_TO,Technology_natural_language_processing
2403.18160,BELONGS_TO,Technology_artificial_intelligence
2009.11616,BELONGS_TO,Technology_nlp
2411.05788,BELONGS_TO,Technology_artificial_intelligence
2205.08891,BELONGS_TO,Technology_natural_language_processing
2205.08891,BELONGS_TO,Technology_uml
1708.01766,BELONGS_TO,Technology_controlled_vocabulary
2210.03003,BELONGS_TO,Technology_bert
2407.19998,BELONGS_TO,Technology_wordnets
2403.17549,BELONGS_TO,Technology_artificial_intelligence
2309.10880,BELONGS_TO,Technology_natural_language_processing
2105.09825,BELONGS_TO,Technology_natural_language_processing
2412.13745,BELONGS_TO,Technology_natural_language_processing
2211.00915,BELONGS_TO,Technology_natural_language_processing
2108.04990,BELONGS_TO,Technology_natural_language_processing
2204.05426,BELONGS_TO,Technology_robot
2306.09782,BELONGS_TO,Technology_gpt
2408.15518,BELONGS_TO,Technology_artificial_intelligence
