head,relation,tail
2207.09711,PROPOSED,Method_Simulation
2306.04845,PROPOSED,Method_machine_translation
2306.04845,PROPOSED,Method_mixture-of-supernets
1905.11012,PROPOSED,Method_GPU_Dynamic_Voltage_and_Frequency_Scaling
1608.03938,PROPOSED,Method_machine_learning
1903.09460,PROPOSED,Method_crop_and_rotate
2311.18702,PROPOSED,Method_Eval-Instruct
2001.05012,PROPOSED,Method_iterative_policy_pruning_and_shrinking
2005.04322,PROPOSED,Method_CS
2309.00384,PROPOSED,Method_Batch_Permutation_and_Ensembling
2107.09044,PROPOSED,Method_group_distributionally_robust_optimization
2304.01826,PROPOSED,Method_CGDTest
2405.06468,PROPOSED,Method_computer-aided_diagnosis_methods_employing_multi-label_zero-shot_learning
2405.06468,PROPOSED,Method_PsPG
2405.06468,PROPOSED,Method_Pseudo-Prompt_Generating
1611.08097,PROPOSED,Method_computer_graphics
1611.08097,PROPOSED,Method_graphs
1905.11079,PROPOSED,Method_L3D_and_PINN
1708.02912,PROPOSED,Method_NLP
2404.14419,PROPOSED,Method_Margin
2012.00404,PROPOSED,Method_DFT
2407.00248,PROPOSED,Method_DiffuseDef
2306.10634,PROPOSED,Method_e-Processing
1810.08838,PROPOSED,Method_machine_translation
2502.00857,PROPOSED,Method_Python
2310.16607,PROPOSED,Method_rationale_extraction
1812.06974,PROPOSED,Method_Lexical_search
1903.11340,PROPOSED,Method_writing_normalization
1903.11340,PROPOSED,Method_lemmatization
1906.01910,PROPOSED,Method_nex-cv
2404.10136,PROPOSED,Method_Cascading
1908.08971,PROPOSED,Method_Automatic_Speech_Recognition
1909.10861,PROPOSED,Method_LM
1211.0713,PROPOSED,Method_NLP_techniques_and_domain_ontology
1606.07298,PROPOSED,Method_Explaining_Predictions_of_Non-Linear_Classifiers_in_NLP_Layer-wise_relevance_propagation
1706.02509,PROPOSED,Method_Bibliometrics
1706.02509,PROPOSED,Method_information_retrieval
1706.02509,PROPOSED,Method_scientometrics
1706.02509,PROPOSED,Method_natural_language_processing
2301.01821,PROPOSED,Method_LoRA
2301.01821,PROPOSED,Method_BitFit
2301.01821,PROPOSED,Method_Adapters
2407.01530,PROPOSED,Method_MRI
2108.10604,PROPOSED,Method_prompt-learning
2301.02732,PROPOSED,Method_pecially_lyrical_keywords
1709.05576,PROPOSED,Method_morphosyntactic_analysis
1703.08595,PROPOSED,Method_Subband_Decomposition
1703.08595,PROPOSED,Method_pruning_network_connections_and_encoding_learning_weights
2110.07609,PROPOSED,Method_Sequence_Embedding
2405.17250,PROPOSED,Method_CV-YOLO
2402.03131,PROPOSED,Method_Event_Argument_Extraction
2402.03131,PROPOSED,Method_Entity_Recognition
2407.07038,PROPOSED,Method_graph-based_NLP
2501.13758,PROPOSED,Method_curriculum_dropout
2305.13002,PROPOSED,Method_Task-adaptive_pre-training
2305.13002,PROPOSED,Method_Self-training
1906.00742,PROPOSED,Method_SoTA
1911.01324,PROPOSED,Method_natural_language_processing
2305.12477,PROPOSED,"Method_Inductive,_Mathematical,_and_Multi-hop_Reasoning_Tasks"
2201.00490,PROPOSED,"Method_surrogate_gradients,_continuous_relaxation,_and_marginal_likelihood_maximization_via_sampling"
2307.01225,PROPOSED,Method_attention_maps
2304.02711,PROPOSED,Method_Structured_prompt_interrogation_and_recursive_extraction_of_semantics
2304.02711,PROPOSED,Method_Recursive_Extraction_of_Semantics
2408.17198,PROPOSED,Method_heatmaps
2408.17198,PROPOSED,Method_Symbolic_XAI
2008.01526,PROPOSED,Method_Multi-Perspective_Sentence_Relevance
2306.11963,PROPOSED,Method_machine_learning
2306.11963,PROPOSED,Method_natural_language_processing
