head,relation,tail
2410.05047,RESEARCH_ON,Task_simulation
2404.10097,RESEARCH_ON,Task_text_classification
1511.06388,RESEARCH_ON,Task_tokenization_parts_of_speech_tagging
2412.19140,RESEARCH_ON,Task_cognition
2310.10375,RESEARCH_ON,Task_gpt
2210.07566,RESEARCH_ON,Task_modularization
2412.12893,RESEARCH_ON,Task_question_answering
2502.00865,RESEARCH_ON,Task_dictionary
1504.05070,RESEARCH_ON,Task_text_classification
2003.10555,RESEARCH_ON,Task_xml
2311.03627,RESEARCH_ON,Task_natural_language_processing
2405.00522,RESEARCH_ON,Task_dom
2411.01213,RESEARCH_ON,Task_semantics
2310.11520,RESEARCH_ON,Task_evaluation
2105.12122,RESEARCH_ON,Task_regular_expressions
2404.17391,RESEARCH_ON,Task_text_classification
2404.17391,RESEARCH_ON,Task_regular_expressions
1908.06203,RESEARCH_ON,Task_natural_language_processing
2205.11916,RESEARCH_ON,Task_algorithms
2212.13860,RESEARCH_ON,Task_cognition
2412.18582,RESEARCH_ON,Task_proving
2412.18582,RESEARCH_ON,Task_question_answering
2412.18582,RESEARCH_ON,Task_xml
2003.01821,RESEARCH_ON,Task_text_classification
2210.02570,RESEARCH_ON,Task_robot
2004.07807,RESEARCH_ON,Task_natural_language_processing
1906.02768,RESEARCH_ON,Task_vrml
2209.00262,RESEARCH_ON,Task_natural_language_processing
2410.17600,RESEARCH_ON,Task_question_answering
2405.16747,RESEARCH_ON,Task_natural_language_processing
2108.12738,RESEARCH_ON,Task_modularization
2011.03965,RESEARCH_ON,Task_natural_language_processing
2108.08224,RESEARCH_ON,Task_natural_language_processing
2110.07731,RESEARCH_ON,Task_question_answering
1408.3829,RESEARCH_ON,Task_web_mining
2310.08887,RESEARCH_ON,Task_vrml
2311.06761,RESEARCH_ON,Task_natural_language_processing
2401.16638,RESEARCH_ON,Task_text_classification
2203.11670,RESEARCH_ON,Task_cognition
2202.03799,RESEARCH_ON,Task_learning
1810.06694,RESEARCH_ON,Task_natural_language_processing
2011.14203,RESEARCH_ON,Task_natural_language_processing
2402.04553,RESEARCH_ON,Task_vrml
2309.11981,RESEARCH_ON,Task_simulation
2203.15860,RESEARCH_ON,Task_natural_language_processing
2406.20054,RESEARCH_ON,Task_wordnets
1512.02433,RESEARCH_ON,Task_natural_language_processing
2004.14145,RESEARCH_ON,Task_dictionary
2310.04673,RESEARCH_ON,Task_automation
2406.17647,RESEARCH_ON,Task_navigation
1811.01824,RESEARCH_ON,Task_modularization
2108.13700,RESEARCH_ON,Task_natural_language_processing
1506.02338,RESEARCH_ON,Task_ontology
2206.09249,RESEARCH_ON,Task_feature_selection
2212.04001,RESEARCH_ON,Task_dci
2411.00052,RESEARCH_ON,Task_bert
2404.00656,RESEARCH_ON,Task_bert
1805.02442,RESEARCH_ON,Task_text_classification
2309.08968,RESEARCH_ON,Task_learning
1810.12368,RESEARCH_ON,Task_cognition
2403.13737,RESEARCH_ON,Task_evaluation
2112.06642,RESEARCH_ON,Task_dictionary
2309.06085,RESEARCH_ON,Task_cognition
2304.05568,RESEARCH_ON,Task_cognition
2402.01643,RESEARCH_ON,Task_simulation
2308.10444,RESEARCH_ON,Task_lstm
2107.00941,RESEARCH_ON,Task_information_extraction
2107.00941,RESEARCH_ON,Task_natural
2310.19975,RESEARCH_ON,Task_cognition
2403.10854,RESEARCH_ON,Task_umls
2302.00407,RESEARCH_ON,Task_remodularization
2305.14936,RESEARCH_ON,Task_text_classification
