head,relation,tail
Technology_natural,BELONGS_TO,Task_affective
Technology_plutus-8b,BELONGS_TO,Task_benchmarking
Technology_pondernet,BELONGS_TO,Task_teaching
Technology_ll,BELONGS_TO,Task_nlp
Technology_diffusedef,BELONGS_TO,Task_diffusedef
Technology_test,BELONGS_TO,Task_nlp
Technology_aishell-1,BELONGS_TO,Task_nlp
Technology_test,BELONGS_TO,Task_nlp
Technology_nlp,BELONGS_TO,Task_hate
Technology_subband,BELONGS_TO,Task_image
Technology_yolov7,BELONGS_TO,Task_task
Technology_yolov7,BELONGS_TO,Task_task
Technology_yolov7,BELONGS_TO,Task_task
Technology_asr-whisper,BELONGS_TO,Task_task
Technology_asr-whisper,BELONGS_TO,Task_task
Technology_asr-whisper,BELONGS_TO,Task_task
Technology_asr,BELONGS_TO,Task_task
Technology_asr,BELONGS_TO,Task_task
Technology_asr,BELONGS_TO,Task_task
Technology_nlp,BELONGS_TO,Task_task
Technology_nlp,BELONGS_TO,Task_task
Technology_nlp,BELONGS_TO,Task_task
Technology_wikipedia,BELONGS_TO,Task_automatic
Technology_simcse,BELONGS_TO,Task_sst
Technology_simcse,BELONGS_TO,Task_paraphrase
Technology_m3bat,BELONGS_TO,Task_unsupervised
Technology_m3bat,BELONGS_TO,Task_classification
Technology_m3bat,BELONGS_TO,Task_regression
Technology_ency-driven,BELONGS_TO,Task_interpretability
Technology_it-dt,BELONGS_TO,Task_interpretability
Technology_machine,BELONGS_TO,Task_ml
Technology_unified-qg,BELONGS_TO,Task_unified
Technology_unified-qg,BELONGS_TO,Task_question
Technology_ified-qg,BELONGS_TO,Task_unified
Technology_ified-qg,BELONGS_TO,Task_question
Technology_lstm,BELONGS_TO,Task_automated
Technology_cnn,BELONGS_TO,Task_automated
Technology_nlp,BELONGS_TO,Task_mt
Technology_gpu,BELONGS_TO,Task_natural
Technology_lstm,BELONGS_TO,Task_natural
Technology_nlp,BELONGS_TO,Task_ner
Technology_legal,BELONGS_TO,Task_named
Technology_legal,BELONGS_TO,Task_named
Technology_huggingface,BELONGS_TO,Task_named
Technology_transformer,BELONGS_TO,Task_instance-wise
Technology_nlp,BELONGS_TO,Task_uncertainty-aware
Technology_actune,BELONGS_TO,Task_uncertainty-aware
Technology_language,BELONGS_TO,Task_topic
Technology_language,BELONGS_TO,Task_focal
Technology_gpt-3.5,BELONGS_TO,Task_task
Technology_xlm-roberta,BELONGS_TO,Task_task
Technology_cider,BELONGS_TO,Task_consensus-based
Technology_large,BELONGS_TO,Task_task
Technology_semeval-2018,BELONGS_TO,Task_task
Technology_nlp,BELONGS_TO,Task_query
Technology_nlp,BELONGS_TO,Task_sts
Technology_sentence-bert,BELONGS_TO,Task_sts
Technology_biobert,BELONGS_TO,Task_ner
Technology_biobert,BELONGS_TO,Task_entity
Technology_en,BELONGS_TO,Task_dialog
Technology_en,BELONGS_TO,Task_response
Technology_nlp,BELONGS_TO,Task_image
Technology_nlp,BELONGS_TO,Task_geopolitical
Technology_mawps,BELONGS_TO,Task_structure-unified
Technology_math23k,BELONGS_TO,Task_structure-unified
Technology_python,BELONGS_TO,Task_host
Technology_nlp,BELONGS_TO,Task_argume
Technology_gbi,BELONGS_TO,Task_gradient-based
Technology_gbi,BELONGS_TO,Task_sequence
Technology_gbi,BELONGS_TO,Task_semantic
Technology_nlp,BELONGS_TO,Task_requirement
Technology_nlp,BELONGS_TO,Task_nlp
Technology_java,BELONGS_TO,Task_detection
Technology_natural,BELONGS_TO,Task_natural
Technology_deep,BELONGS_TO,Task_natural
Technology_lexical,BELONGS_TO,Task_lexical
Technology_nlp,BELONGS_TO,Task_co-stack
Technology_xml,BELONGS_TO,Task_information
Technology_nlp,BELONGS_TO,Task_nlp
Technology_kepler,BELONGS_TO,Task_convolution
Technology_google,BELONGS_TO,Task_speech
Technology_nlp,BELONGS_TO,Task_embedding
Technology_ripple,BELONGS_TO,Task_embedding
Technology_genai,BELONGS_TO,Task_event
Technology_logistic,BELONGS_TO,Task_end-to-end
Technology_switchtab,BELONGS_TO,Task_end-to-end
Technology_zero-shot-cot,BELONGS_TO,Task_arithmetics
Technology_narrowbert,BELONGS_TO,Task_accelerating
Technology_narrowbert,BELONGS_TO,Task_mnli
Technology_ai,BELONGS_TO,Task_natural
Technology_ai,BELONGS_TO,Task_alysis
Technology_textflint,BELONGS_TO,Task_natural
Technology_textflint,BELONGS_TO,Task_alysis
Technology_ire,BELONGS_TO,Task_search
Technology_iae,BELONGS_TO,Task_sentiment
Technology_ai,BELONGS_TO,Task_qa
Technology_nlp,BELONGS_TO,Task_qa
Technology_ms-twins,BELONGS_TO,Task_multi-scale
Technology_natural,BELONGS_TO,Task_semantic
Technology_lstm,BELONGS_TO,Task_question
Technology_lstm,BELONGS_TO,Task_answer
Technology_nlp,BELONGS_TO,Task_nlu
Technology_nlp,BELONGS_TO,Task_nlg
Technology_epa,BELONGS_TO,Task_nlu
Technology_epa,BELONGS_TO,Task_nlg
Technology_gsm8k,BELONGS_TO,Task_prolog
Technology_mlm,BELONGS_TO,Task_supervised
Technology_supclseq,BELONGS_TO,Task_supervised
Technology_affective,BELONGS_TO,Task_affective
Technology_affective,BELONGS_TO,Task_prompt
Technology_sentiment,BELONGS_TO,Task_sentiment
Technology_html,BELONGS_TO,Task_sentiment
Technology_gpt-3,BELONGS_TO,Task_speech
Technology_nlp,BELONGS_TO,Task_learning
Technology_python,BELONGS_TO,Task_slot
Technology_deep,BELONGS_TO,Task_slot
Technology_nlp,BELONGS_TO,Task_slot
Technology_opend5,BELONGS_TO,Task_d5
Technology_xlda,BELONGS_TO,Task_cross-lingual
Technology_xlda,BELONGS_TO,Task_squad
Technology_ai,BELONGS_TO,Task_bill
Technology_openai,BELONGS_TO,Task_llms
Technology_transformer-xl,BELONGS_TO,Task_image
Technology_ai,BELONGS_TO,Task_se
Technology_computer,BELONGS_TO,Task_se
Technology_nlp,BELONGS_TO,Task_improving
Technology_nlp,BELONGS_TO,Task_prompt
Technology_nlp,BELONGS_TO,Task_prompt
Technology_vision,BELONGS_TO,Task_prompt
Technology_vision,BELONGS_TO,Task_prompt
Technology_prototex,BELONGS_TO,Task_propaganda
Technology_pqrnn,BELONGS_TO,Task_matis
Technology_pqrnn,BELONGS_TO,Task_mtop
Technology_cheetah-3.7b,BELONGS_TO,Task_many-to-many
Technology_cheetah-1.2b,BELONGS_TO,Task_many-to-many
Technology_fltlm,BELONGS_TO,Task_multi-document
Technology_vicinity,BELONGS_TO,Task_vicinity
Technology_bi-gru-lstm-cnn,BELONGS_TO,Task_hate
Technology_cgba,BELONGS_TO,Task_claim-guided
Technology_lsp-align,BELONGS_TO,Task_mining
Technology_ai,BELONGS_TO,Task_question
Technology_abba,BELONGS_TO,Task_argument
Technology_nlp,BELONGS_TO,Task_quality
Technology_ai,BELONGS_TO,Task_counterfactual
Technology_encoder-decoder,BELONGS_TO,Task_offensive
Technology_encoder-decoder,BELONGS_TO,Task_misinformation
Technology_out-of-domain,BELONGS_TO,Task_instance-level
Technology_6g,BELONGS_TO,Task_dl
Technology_dl,BELONGS_TO,Task_dl
Technology_web,BELONGS_TO,Task_information
Technology_targeted,BELONGS_TO,Task_targeted
Technology_nlp,BELONGS_TO,Task_re-ranking
Technology_relevant,BELONGS_TO,Task_relevant
Technology_internet,BELONGS_TO,Task_opinion
Technology_chronos,BELONGS_TO,Task_zero-shot
Technology_nlp,BELONGS_TO,Task_early
Technology_nlp,BELONGS_TO,Task_task
Technology_llms,BELONGS_TO,Task_task
Technology_gsm8k,BELONGS_TO,Task_ground
Technology_adafocal,BELONGS_TO,Task_calibration-aware
Technology_adafocal,BELONGS_TO,Task_nlp
Technology_nlp,BELONGS_TO,Task_calibration-aware
Technology_nlp,BELONGS_TO,Task_nlp
