id,type,name,time
1111.6265,Paper,A Scalable Video Search Engine Based on Audio Content Indexing and Topic Segmentation,2011
1302.6411,Paper,"Stochastic Context-Free Grammars, Regular Languages, and Newton's Method",2013
1604.03029,Paper,Mapping Out Narrative Structures and Dynamics Using Networks and Textual Information,2016
1605.03481,Paper,Tweet2Vec: Character-Based Distributed Representations for Social Media,2016
1610.09799,Paper,Experiments with POS Tagging Code-mixed Indian Social Media Text,2016
1711.06752,Paper,"Political Polarization in Social Media: Analysis of the ""Twitter Political Field"" in Japan",2017
1712.07682,Paper,Deep metric learning for multi-labelled radiographs,2017
1804.07045,Paper,Semantic Adversarial Deep Learning,2018
1811.03199,Paper,Confusion2Vec: Towards Enriching Vector Space Word Representations with Representational Ambiguities,2018
1905.01961,Paper,"Evaluating the Portability of an NLP System for Processing Echocardiograms: A Retrospective, Multi-site Observational Study",2019
1906.01569,Paper,Sequence Tagging with Contextual and Non-Contextual Subword Representations: A Multilingual Evaluation,2019
1907.13356,Paper,Normalyzing Numeronyms -- A NLP approach,2019
1909.07734,Paper,SocialNLP EmotionX 2019 Challenge Overview: Predicting Emotions in Spoken Dialogues and Chats,2019
1912.00147,Paper,Integrating Graph Contextualized Knowledge into Pre-trained Language Models,2019
1912.06905,Paper,Long-length Legal Document Classification,2019
2003.01271,Paper,Med7: a transferable clinical natural language processing model for electronic health records,2020
2004.00648,Paper,Igbo-English Machine Translation: An Evaluation Benchmark,2020
2004.14907,Paper,You are right. I am ALARMED -- But by Climate Change Counter Movement,2020
2005.01330,Paper,From SPMRL to NMRL: What Did We Learn (and Unlearn) in a Decade of Parsing Morphologically-Rich Languages (MRLs)?,2020
2006.10114,Paper,Constraint-Based Regularization of Neural Networks,2020
2006.15585,Paper,Self-Attention Networks for Intent Detection,2020
2007.00875,Paper,Can We Achieve More with Less? Exploring Data Augmentation for Toxic Comment Classification,2020
2010.01556,Paper,Reverse Operation based Data Augmentation for Solving Math Word Problems,2020
2010.03532,Paper,What Can We Learn from Collective Human Opinions on Natural Language Inference Data?,2020
2010.06060,Paper,BioMegatron: Larger Biomedical Domain Language Model,2020
2010.16357,Paper,A Cross-lingual Natural Language Processing Framework for Infodemic Management,2020
2101.03024,Paper,LiteMuL: A Lightweight On-Device Sequence Tagger using Multi-task Learning,2020
2102.11584,Paper,Enhancing Model Robustness By Incorporating Adversarial Knowledge Into Semantic Representation,2021
2103.15543,Paper,Be Careful about Poisoned Word Embeddings: Exploring the Vulnerability of the Embedding Layers in NLP Models,2021
2104.03337,Paper,Automatic Generation of Descriptive Titles for Video Clips Using Deep Learning,2021
2104.06387,Paper,ExplainaBoard: An Explainable Leaderboard for NLP,2021
2104.08677,Paper,From Fully Trained to Fully Random Embeddings: Improving Neural Machine Translation with Compact Word Embedding Tables,2021
2104.09791,Paper,B-PROP: Bootstrapped Pre-training with Representative Words Prediction for Ad-hoc Retrieval,2021
2106.00749,Paper,Higher-order Derivatives of Weighted Finite-state Machines,2021
2106.05160,Paper,Case Studies on using Natural Language Processing Techniques in Customer Relationship Management Software,2021
2107.02975,Paper,Neural Natural Language Processing for Unstructured Data in Electronic Health Records: a Review,2021
2109.00239,Paper,OptAGAN: Entropy-based finetuning on text VAE-GAN,2021
2109.03094,Paper,"FHAC at GermEval 2021: Identifying German toxic, engaging, and fact-claiming comments with ensemble learning",2021
2109.12951,Paper,Pragmatic competence of pre-trained language models through the lens of discourse connectives,2021
2110.05367,Paper,Improving Gender Fairness of Pre-Trained Language Models without Catastrophic Forgetting,2021
2111.05412,Paper,MNet-Sim: A Multi-layered Semantic Similarity Network to Evaluate Sentence Similarity,2021
2111.05721,Paper,Critical Sentence Identification in Legal Cases Using Multi-Class Classification,2021
2112.07198,Paper,From Dense to Sparse: Contrastive Pruning for Better Pre-trained Language Model Compression,2021
2201.01706,Paper,Multi Document Reading Comprehension,2022
2202.12826,Paper,A Systematic Literature Review about Idea Mining: The Use of Machine-driven Analytics to Generate Ideas,2022
2205.04028,Paper,Learning 6-DoF Object Poses to Grasp Category-level Objects by Language Instructions,2022
2205.06203,Paper,Predicting Human Psychometric Properties Using Computational Language Models,2022
2206.00648,Paper,PreBit -- A multimodal model with Twitter FinBERT embeddings for extreme price movement prediction of Bitcoin,2022
2207.03679,Paper,Getting BART to Ride the Idiomatic Train: Learning to Represent Idiomatic Expressions,2022
2207.10652,Paper,O-Dang! The Ontology of Dangerous Speech Messages,2022
2209.03563,Paper,SSL-WM: A Black-Box Watermarking Approach for Encoders Pre-trained by Self-supervised Learning,2022
2210.09439,Paper,CAN-BERT do it? Controller Area Network Intrusion Detection System based on BERT Language Model,2022
2211.00142,Paper,TaTa: A Multilingual Table-to-Text Dataset for African Languages,2022
2211.05617,Paper,Debiasing Methods for Fairer Neural Models in Vision and Language Research: A Survey,2022
2211.08543,Paper,Demystify Self-Attention in Vision Transformers from a Semantic Perspective: Analysis and Application,2022
2211.10043,Paper,Vision Transformers in Medical Imaging: A Review,2022
2302.05698,Paper,Compositional Exemplars for In-context Learning,2023
2303.07470,Paper,X-Former: In-Memory Acceleration of Transformers,2023
2304.01240,Paper,Identifying Mentions of Pain in Mental Health Records Text: A Natural Language Processing Approach,2023
2304.08177,Paper,Efficient and Effective Text Encoding for Chinese LLaMA and Alpaca,2023
2305.00309,Paper,Patent Mining by Extracting Functional Analysis Information Modelled As Graph Structure: A Patent Knowledge-base Collaborative Building Approach,2023
2305.01904,Paper,Robust Multi-bit Natural Language Watermarking through Invariant Features,2023
2305.02321,Paper,Entity-Based Evaluation of Political Bias in Automatic Summarization,2023
2305.10833,Paper,Deep Learning Methods for Extracting Metaphorical Names of Flowers and Plants,2023
2305.11442,Paper,Zero-Shot Text Classification via Self-Supervised Tuning,2023
2305.14996,Paper,The ACL OCL Corpus: Advancing Open Science in Computational Linguistics,2023
2306.01169,Paper,Hybrid Long Document Summarization using C2F-FAR and ChatGPT: A Practical Study,2023
2306.17792,Paper,Towards Improving the Performance of Pre-Trained Speech Models for Low-Resource Languages Through Lateral Inhibition,2023
2307.14912,Paper,ARC-NLP at PAN 2023: Hierarchical Long Text Classification for Trigger Detection,2023
2308.07213,Paper,Human-centered NLP Fact-checking: Co-Designing with Fact-checkers using Matchmaking for AI,2023
2308.08234,Paper,Challenges and Opportunities of Using Transformer-Based Multi-Task Learning in NLP Through ML Lifecycle: A Survey,2023
2309.02237,Paper,Sample Size in Natural Language Processing within Healthcare Research,2023
2310.03243,Paper,Sparse Deep Learning for Time Series Data: Theory and Applications,2023
2310.10400,Paper,Can Word Sense Distribution Detect Semantic Changes of Words?,2023
2310.16955,Paper,"Break it, Imitate it, Fix it: Robustness by Generating Human-Like Attacks",2023
2310.19232,Paper,Adapter Pruning using Tropical Characterization,2023
2401.00287,Paper,The Art of Defending: A Systematic Evaluation and Analysis of LLM Defense Strategies on Safety and Over-Defensiveness,2023
2403.03558,Paper,Benchmarking Hallucination in Large Language Models based on Unanswerable Math Word Problem,2024
2403.14694,Paper,Application of GPT Language Models for Innovation in Activities in University Teaching,2024
2404.01814,Paper,A neural network-based approach to hybrid systems identification for control,2024
2404.03206,Paper,NLP4Gov: A Comprehensive Library for Computational Policy Analysis,2024
2404.08684,Paper,Is English the New Programming Language? How About Pseudo-code Engineering?,2024
