head,relation,tail
2207.09711,BELONGS_TO,Technology_vesna
2207.09711,PROPOSED,Method_simulation
Method_simulation,USES,Technology_vesna
2306.04845,BELONGS_TO,Technology_nlp
2306.04845,BELONGS_TO,Technology_mixture-of-supernets
2306.04845,PROPOSED,Method_machine
2306.04845,PROPOSED,Method_mixture-of-supernets
Method_machine,USES,Technology_nlp
Method_machine,USES,Technology_mixture-of-supernets
Method_machine,IMPROVES,Method_mixture-of-supernets
Method_mixture-of-supernets,USES,Technology_nlp
Method_mixture-of-supernets,USES,Technology_mixture-of-supernets
Method_mixture-of-supernets,IMPROVES,Method_machine
1905.11012,BELONGS_TO,Technology_gpu
1905.11012,BELONGS_TO,Technology_gpu
1905.11012,PROPOSED,Method_gpu
Method_gpu,USES,Technology_gpu
Method_gpu,USES,Technology_gpu
2312.17353,BELONGS_TO,Technology_hyfuzz
1608.03938,PROPOSED,Method_machine
1903.09460,PROPOSED,Method_crop
2405.06692,BELONGS_TO,Technology_naive
2405.06692,BELONGS_TO,Technology_support
2311.18702,BELONGS_TO,Technology_gpt-4
2311.18702,PROPOSED,Method_eval-instruct
Method_eval-instruct,USES,Technology_gpt-4
1911.01371,BELONGS_TO,Technology_natural
1911.01371,RESEARCH_ON,Task_affective
Technology_natural,BELONGS_TO,Task_affective
2001.05012,PROPOSED,Method_iterative
2502.18772,BELONGS_TO,Technology_plutus-8b
2502.18772,RESEARCH_ON,Task_benchmarking
Technology_plutus-8b,BELONGS_TO,Task_benchmarking
2404.18759,BELONGS_TO,Technology_nlp
2005.04322,BELONGS_TO,Technology_nlp
2005.04322,PROPOSED,Method_cs
Method_cs,USES,Technology_nlp
2409.19015,BELONGS_TO,Technology_textless
2309.00384,PROPOSED,Method_batch
2309.00384,RESEARCH_ON,Task_batchprompt
Method_batch,EVALUATES,Task_batchprompt
2205.12006,BELONGS_TO,Technology_neur2sp
2107.09044,BELONGS_TO,Technology_erm
2107.09044,PROPOSED,Method_group
Method_group,USES,Technology_erm
1609.01580,BELONGS_TO,Technology_svm
2304.01826,PROPOSED,Method_cgdtest
2203.11841,BELONGS_TO,Technology_wikipedia
2412.12094,BELONGS_TO,Technology_sepllm
2412.12094,BELONGS_TO,Technology_gsm8k-cot
2405.06468,BELONGS_TO,Technology_pspg
2405.06468,PROPOSED,Method_computer-aided
2405.06468,PROPOSED,Method_pspg
2405.06468,PROPOSED,Method_pseudo-prompt
Method_computer-aided,USES,Technology_pspg
Method_computer-aided,IMPROVES,Method_pspg
Method_computer-aided,IMPROVES,Method_pseudo-prompt
Method_pspg,USES,Technology_pspg
Method_pspg,IMPROVES,Method_computer-aided
Method_pspg,IMPROVES,Method_pseudo-prompt
Method_pseudo-prompt,USES,Technology_pspg
Method_pseudo-prompt,IMPROVES,Method_computer-aided
Method_pseudo-prompt,IMPROVES,Method_pspg
2404.01077,BELONGS_TO,Technology_automatic
2309.00363,BELONGS_TO,Technology_fs-llm
2403.05519,RESEARCH_ON,Task_authorship
1611.08097,BELONGS_TO,Technology_computer
1611.08097,PROPOSED,Method_computer
1611.08097,PROPOSED,Method_graphs
Method_computer,USES,Technology_computer
Method_computer,IMPROVES,Method_graphs
Method_graphs,USES,Technology_computer
Method_graphs,IMPROVES,Method_computer
1905.11079,PROPOSED,Method_l3d
1708.02912,PROPOSED,Method_nlp
2404.14419,PROPOSED,Method_margin
2404.14419,RESEARCH_ON,Task_evaluation
