id,type,name,time
Method_adversarial_training,Method,"Adversarial Training, DarijaBanking, Hierarchical Clustering, Virtual Adversarial Training, adversarial attacks, adversarial filtering, adversarial learning, adversarial training, rarchical Clustering, virtual adversarial training",2024
Method_agent_architecture,Method,"neural architecture search, rchitecture, rmer-based architecture",2023
Method_ai,Method,Aida,2022
Method_algorithms,Method,"algorithm, algorithms, orithm",2020
Method_anaphora_resolution,Method,"analogical reasoning, coreference resolution",2021
Method_argumentation_mining,Method,"Argument Mining, Image captioning, argument mining, hard negative mining, image captioning",2023
Method_artificial_intelligence,Method,"AI, Artificial Intelligence, Variational Inference",2024
Method_automatic_indexing,Method,"Automated audio captioning, Topic Modeling, automated reasoning, automatic and human evaluation, automatic essay grading, automatic prompt design, automatic text summarization, topic modeling, topic modelling",2022
Method_automation,Method,"AutoML-GPT, Batch Normalization, GatorTron, Mutual Information, actorization, automated, automatic",2023
Method_bert,Method,"BERT, BERT-GT, BERTopic, BET, BLICEr, Bert-base, CT-BERT, DeBERTa, ERT, ET, FedRTS, G-BERT, LABDet, MathBERT, MoEBERT, RT, RoBERTa, SNOBERT, he-art, m-BERT, mBERT",2023
Method_chatbots,Method,"ChatGPT, ChatWords, EchoAtt, charts",2023
Method_clinical_text,Method,Clinical BERT,2021
Method_cognition,Method,"ONION, Tokenization, cation, ognition, tokenization",2023
Method_collaboration,Method,"calibration, collaborative training, label aggregation, label propagation",2021
Method_compositionality,Method,positional encodings,2019
Method_computational,Method,"DeepMutation, computational, computationally, ompting, rpretation",2021
Method_computational_linguistics,Method,"computational linguistics, corpus statistics",2021
Method_computer_science,Method,"Computer Vision, computer graphics, computer vision, computer vision tasks, mputer Vision",2022
Method_content_annotation,Method,"Counterfactual Data Augmentation, Data annotation, decontextualization, manual annotation, text augmentation",2024
Method_covid-19,Method,"COVID-19-CT-CXR, D-19",2020
Method_crowdsourcing,Method,Crowd-Certain,2023
Method_data_analysis,Method,"Data Augmentation, Topological Data Analysis, data analysis, data analytics, dynamic analysis, topological data analysis",2024
Method_data_mining,Method,"Data Mining, Data mining, data mining, data modeling, delta tuning, graph mining",2021
Method_dci,Method,"ADC, CIA, CIL, DCP, DID, DIP, Di, SCI, cIE",2024
Method_deep_learning,Method,"Deep Learning, Deep Transfer Learning, Deep learning, Dense Fine-tuning, Ensemble Learning, Preference Learning, Prompt learning, Zero-Shot Learning, deep learning, ensemble learning, few-shot learning, metric learning, model pruning, word learning, zero-shot learning",2024
Method_dictionary,Method,prediction,2016
Method_dom,Method,"DO, DropMix, random",2018
Method_em_algorithm,Method,"ML algorithms, evolutionary algorithms",1994
