head,relation,tail
2312.15696,BELONGS_TO,Technology_natural_language_processing
2412.12733,BELONGS_TO,Technology_natural_language_processing
2303.13722,PROPOSED,Method_bert
2211.08794,BELONGS_TO,Technology_natural_language_processing
2009.11226,BELONGS_TO,Technology_natural_language_processing
2009.11226,PROPOSED,Method_transformer
Method_transformer,USES,Technology_natural_language_processing
2303.15727,PROPOSED,Method_chatbots
2401.06210,BELONGS_TO,Technology_natural_language_processing
2405.06818,BELONGS_TO,Technology_artificial_intelligence
2309.07462,BELONGS_TO,Technology_gpt
2301.05099,PROPOSED,Method_bert
2406.17304,BELONGS_TO,Technology_artificial_intelligence
2104.11576,BELONGS_TO,Technology_natural_language_processing
2407.01530,BELONGS_TO,Technology_lstm
2303.09999,BELONGS_TO,Technology_natural_language_processing
2002.06275,BELONGS_TO,Technology_twitter
2002.06275,BELONGS_TO,Technology_bert
2002.06275,PROPOSED,Method_learning
Method_learning,USES,Technology_twitter
Method_learning,USES,Technology_bert
1807.05519,BELONGS_TO,Technology_natural_language_processing
2207.05359,BELONGS_TO,Technology_natural_language_processing
2305.18023,BELONGS_TO,Technology_natural_language_processing
2408.02337,BELONGS_TO,Technology_artificial_intelligence
2412.01312,BELONGS_TO,Technology_artificial_intelligence
2207.11716,BELONGS_TO,Technology_lstm
2211.12316,BELONGS_TO,Technology_natural_language_processing
2010.01027,BELONGS_TO,Technology_transformer
1809.01812,PROPOSED,Method_france
1707.03372,BELONGS_TO,Technology_internet
2004.13823,BELONGS_TO,Technology_natural_language_processing
2110.08455,BELONGS_TO,Technology_natural_language_processing
2406.18776,BELONGS_TO,Technology_artificial_intelligence
2406.11307,BELONGS_TO,Technology_natural_language_processing
1807.00571,BELONGS_TO,Technology_natural_language_processing
2407.10114,BELONGS_TO,Technology_artificial_intelligence
2410.05047,RESEARCH_ON,Task_simulation
1506.08140,BELONGS_TO,Technology_parsing
2404.10097,RESEARCH_ON,Task_text_classification
2211.02899,BELONGS_TO,Technology_natural_language_processing
2411.01523,PROPOSED,Method_parsing
2407.03020,BELONGS_TO,Technology_natural_language_processing
2312.15020,BELONGS_TO,Technology_bert
2312.15020,BELONGS_TO,Technology_transformer
2312.15020,PROPOSED,Method_natural_language_processing
2312.15020,PROPOSED,Method_transformer
Method_natural_language_processing,USES,Technology_bert
Method_natural_language_processing,USES,Technology_transformer
Method_natural_language_processing,IMPROVES,Method_transformer
Method_transformer,USES,Technology_bert
Method_transformer,USES,Technology_transformer
Method_transformer,IMPROVES,Method_natural_language_processing
2404.04997,BELONGS_TO,Technology_natural_language_processing
2403.09762,BELONGS_TO,Technology_artificial_intelligence
2403.09762,PROPOSED,Method_artificial_intelligence
Method_artificial_intelligence,USES,Technology_artificial_intelligence
2401.02731,BELONGS_TO,Technology_gpt
2405.04781,BELONGS_TO,Technology_ai
2401.15861,BELONGS_TO,Technology_bert
2110.06696,BELONGS_TO,Technology_natural_language_processing
2112.01959,PROPOSED,Method_natural_language_processing
1503.00197,BELONGS_TO,Technology_natural_language_processing
1707.01793,BELONGS_TO,Technology_natural_language_processing
1707.01793,PROPOSED,Method_word_vectors
Method_word_vectors,USES,Technology_natural_language_processing
2309.06572,BELONGS_TO,Technology_natural_language_processing
2406.03482,PROPOSED,Method_question_answering
2212.08205,BELONGS_TO,Technology_natural_language_processing
1511.06388,RESEARCH_ON,Task_tokenization_parts_of_speech_tagging
2403.08425,BELONGS_TO,Technology_artificial_intelligence
2211.15144,BELONGS_TO,Technology_natural_language_processing
2110.09132,BELONGS_TO,Technology_natural_language_processing
2306.01499,BELONGS_TO,Technology_artificial_intelligence
2302.13007,BELONGS_TO,Technology_gpt
2402.18449,BELONGS_TO,Technology_natural_language_processing
2405.19164,BELONGS_TO,Technology_artificial_intelligence
2403.09997,BELONGS_TO,Technology_natural_language_processing
2301.08912,BELONGS_TO,Technology_natural_language_processing
2412.19140,RESEARCH_ON,Task_cognition
1911.07272,BELONGS_TO,Technology_internet
2502.13832,BELONGS_TO,Technology_gpt
2409.19022,BELONGS_TO,Technology_artificial_intelligence
2409.19022,BELONGS_TO,Technology_natural_language_processing
2409.19022,PROPOSED,Method_artificial_intelligence
Method_artificial_intelligence,USES,Technology_natural_language_processing
2009.09139,BELONGS_TO,Technology_natural_language_processing
1809.06502,BELONGS_TO,Technology_natural_language_processing
2403.09718,BELONGS_TO,Technology_natural_language_processing
2310.14545,BELONGS_TO,Technology_chatbots
2208.03646,BELONGS_TO,Technology_gpt
2302.07612,PROPOSED,Method_proving
2302.07612,PROPOSED,Method_question_answering
Method_proving,IMPROVES,Method_question_answering
Method_question_answering,IMPROVES,Method_proving
2109.05090,BELONGS_TO,Technology_dialogue
2109.05090,BELONGS_TO,Technology_gpt
2311.14685,BELONGS_TO,Technology_artificial_intelligence
2310.10375,BELONGS_TO,Technology_natural_language_processing
2310.10375,RESEARCH_ON,Task_gpt
Technology_natural_language_processing,BELONGS_TO,Task_gpt
2212.10650,PROPOSED,Method_gpt
2409.09415,BELONGS_TO,Technology_gpt
2302.14367,PROPOSED,Method_natural_language_processing
2302.02023,BELONGS_TO,Technology_natural_language_processing
2109.13037,BELONGS_TO,Technology_natural_language_processing
2204.14081,PROPOSED,Method_learning
2501.14491,BELONGS_TO,Technology_natural_language_processing
2105.13491,BELONGS_TO,Technology_natural_language_processing
2009.05639,BELONGS_TO,Technology_lstm
2011.06430,BELONGS_TO,Technology_natural_language_processing
2502.08371,BELONGS_TO,Technology_natural_language_processing
1604.00314,BELONGS_TO,Technology_natural_language_processing
1505.06169,BELONGS_TO,Technology_natural_language_processing
2308.04346,BELONGS_TO,Technology_artificial_intelligence
1908.07831,BELONGS_TO,Technology_natural_language_processing
1807.00847,BELONGS_TO,Technology_internet
2210.07566,RESEARCH_ON,Task_modularization
2006.09896,PROPOSED,Method_embedding
2212.13456,BELONGS_TO,Technology_transformer
2106.06964,BELONGS_TO,Technology_natural_language_processing
2305.02182,BELONGS_TO,Technology_chatbots
2104.06644,BELONGS_TO,Technology_natural_language_processing
2209.14389,BELONGS_TO,Technology_bert
2107.09640,BELONGS_TO,Technology_twitter
2107.09640,PROPOSED,Method_twitter
Method_twitter,USES,Technology_twitter
