start_node,end_node,relationship
6,2,USES
6,3,USES
6,4,USES
6,5,USES
6,7,USES
6,10,EVALUATES
6,13,EVALUATES
6,14,EVALUATES
7,2,USES
7,3,USES
7,4,USES
7,5,USES
7,13,EVALUATES
7,9,EVALUATES
8,2,USES
8,3,USES
8,5,USES
8,13,EVALUATES
8,10,EVALUATES
8,12,EVALUATES
5,9,USES
5,10,USES
5,12,USES
5,13,USES
5,7,IMPROVES
5,3,USES
5,6,USES
5,8,USES
5,16,USES
3,1,USES
3,7,USES
3,2,USES
3,4,USES
3,13,USES
4,1,USES
4,7,USES
4,2,USES
4,8,USES
4,9,USES
2,16,USES
2,15,USES
2,6,USES
2,5,USES
3,17,BELONGS_TO
5,9,EVALUATES
5,12,EVALUATES
6,18,EVALUATES
6,20,EVALUATES
7,10,EVALUATES
8,14,EVALUATES
8,19,EVALUATES
10,13,BELONGS_TO
13,5,IMPROVES
14,5,BELONGS_TO
5,28,USES
5,29,USES
5,17,USES
5,21,EVALUATES
28,2,USES
26,2,USES
25,6,USES
32,16,USES
32,3,USES
32,5,USES
32,15,USES
29,5,USES
30,2,USES
31,5,USES
