head,relation,tail
2502.02407,BELONGS_TO,Technology_Sharpness_Aware_Minimization
2502.02407,BELONGS_TO,Technology_AdamW
2502.02407,PROPOSED,Method_Sharpness_Aware_Minimization
2502.02407,PROPOSED,Method_SAM
2502.02407,PROPOSED,Method_Functional-SAM
Method_Sharpness_Aware_Minimization,USES,Technology_Sharpness_Aware_Minimization
Method_Sharpness_Aware_Minimization,USES,Technology_AdamW
Method_Sharpness_Aware_Minimization,IMPROVES,Method_SAM
Method_Sharpness_Aware_Minimization,IMPROVES,Method_Functional-SAM
Method_SAM,USES,Technology_Sharpness_Aware_Minimization
Method_SAM,USES,Technology_AdamW
Method_SAM,IMPROVES,Method_Sharpness_Aware_Minimization
Method_SAM,IMPROVES,Method_Functional-SAM
Method_Functional-SAM,USES,Technology_Sharpness_Aware_Minimization
Method_Functional-SAM,USES,Technology_AdamW
Method_Functional-SAM,IMPROVES,Method_Sharpness_Aware_Minimization
Method_Functional-SAM,IMPROVES,Method_SAM
2109.07839,BELONGS_TO,Technology_SSL
2109.07839,PROPOSED,Method_EEG
Method_EEG,USES,Technology_SSL
2212.12652,RESEARCH_ON,Task_STRUctured_DiaLoguE_Summarization
2303.17740,BELONGS_TO,Technology_IoT
2303.17740,BELONGS_TO,Technology_natural_language_processing
2303.17740,PROPOSED,Method_natural_language_processing
Method_natural_language_processing,USES,Technology_IoT
Method_natural_language_processing,USES,Technology_natural_language_processing
2404.00570,PROPOSED,Method_parallel_in-context_learning
2405.19578,BELONGS_TO,Technology_LLMs
2312.15696,BELONGS_TO,Technology_NLP
2312.15696,BELONGS_TO,Technology_In-context_Learni
2312.15696,PROPOSED,Method_EcomGPT-CT
Method_EcomGPT-CT,USES,Technology_NLP
Method_EcomGPT-CT,USES,Technology_In-context_Learni
2102.12073,BELONGS_TO,Technology_Recall@K_metric
2412.12733,BELONGS_TO,Technology_NLP
2412.12733,RESEARCH_ON,Task_EventFull:_Complete_and_Consistent_Event_Relation_Annotation
Technology_NLP,BELONGS_TO,Task_EventFull:_Complete_and_Consistent_Event_Relation_Annotation
2310.11374,BELONGS_TO,Technology_LoRA
2301.12139,RESEARCH_ON,Task_Multi-axes_Evaluation_of_Bias_with_Explainability_in_Benchmark_Datasets
2205.10238,BELONGS_TO,Technology_Deep_Learning
2205.10238,PROPOSED,Method_Computer_Vision
2205.10238,PROPOSED,Method_Visualizing_and_Explaining_Language_Models
Method_Computer_Vision,USES,Technology_Deep_Learning
Method_Computer_Vision,IMPROVES,Method_Visualizing_and_Explaining_Language_Models
Method_Visualizing_and_Explaining_Language_Models,USES,Technology_Deep_Learning
Method_Visualizing_and_Explaining_Language_Models,IMPROVES,Method_Computer_Vision
2402.17411,BELONGS_TO,Technology_LightGBM
2303.13722,PROPOSED,Method_RT
2303.13722,PROPOSED,Method_Radiotherapy
2303.13722,PROPOSED,Method_thoracic_RT
2303.13722,RESEARCH_ON,Task_3
Method_RT,IMPROVES,Method_Radiotherapy
Method_RT,IMPROVES,Method_thoracic_RT
Method_RT,EVALUATES,Task_3
Method_Radiotherapy,IMPROVES,Method_RT
Method_Radiotherapy,IMPROVES,Method_thoracic_RT
Method_Radiotherapy,EVALUATES,Task_3
Method_thoracic_RT,IMPROVES,Method_RT
Method_thoracic_RT,IMPROVES,Method_Radiotherapy
Method_thoracic_RT,EVALUATES,Task_3
2211.08794,BELONGS_TO,Technology_NLP
2211.08794,PROPOSED,Method_fine-tuning
Method_fine-tuning,USES,Technology_NLP
2209.08167,RESEARCH_ON,Task_Quantum_Vision_Transformers
2009.11226,BELONGS_TO,Technology_NLP
2009.11226,PROPOSED,Method_transfor
Method_transfor,USES,Technology_NLP
2303.15727,BELONGS_TO,Technology_ChatGPT_API
2303.15727,PROPOSED,Method_ChatGPT
2303.15727,RESEARCH_ON,Task_depression_detection
2303.15727,RESEARCH_ON,Task_stress_detection
2303.15727,RESEARCH_ON,Task_cidality_detection
Method_ChatGPT,USES,Technology_ChatGPT_API
Method_ChatGPT,EVALUATES,Task_depression_detection
Method_ChatGPT,EVALUATES,Task_stress_detection
Method_ChatGPT,EVALUATES,Task_cidality_detection
Technology_ChatGPT_API,BELONGS_TO,Task_depression_detection
Technology_ChatGPT_API,BELONGS_TO,Task_stress_detection
Technology_ChatGPT_API,BELONGS_TO,Task_cidality_detection
2408.02439,BELONGS_TO,Technology_LIBRA
2408.02439,RESEARCH_ON,Task_Long_Input_Benchmark_for_Russian_Analysis
Technology_LIBRA,BELONGS_TO,Task_Long_Input_Benchmark_for_Russian_Analysis
